Task - 1 - Linear polarised,,,,30 degrees,,,,45,,
,Angle,Voltage/V,,Angle,Voltage/V,,,Angle,Voltage/V,
,-90,0.002,,-90,0.49,,,-90,0.621,
,-80,0.056,,-80,0.414,,,-80,0.628,
,-70,0.172,,-70,0.371,,,-70,0.639,
,-60,0.351,,-60,0.354,,,-60,0.646,
,-50,0.573,,-50,0.371,,,-50,0.657,
,-40,0.821,,-40,0.421,,,-40,0.661,
,-30,1.04,,-30,0.496,,,-30,0.664,
,-20,1.222,,-20,0.591,,,-20,0.663,
,-10,1.344,,-10,0.693,,,-10,0.659,
,0,1.386,,0,0.784,,,0,0.651,
,10,"1,345",,10,0.866,,,10,0.643,
,20,1.227,,20,0.917,,,20,0.634,
,30,1.046,,30,0.935,,,30,0.625,
,40,0.827,,40,0.919,,,40,0.618,
,50,0.588,,50,0.871,,,50,0.613,
,60,0.356,,60,0.796,,,60,0.61,
,70,0.179,,70,0.701,,,70,0.61,
,80,0.052,,80,0.601,,,80,0.614,
,90,0.003,,90,0.502,,,90,0.62,
,,,,,,,,,,
,,,,,,,,,,
Task - 2,,,,,,,,,,
,,,,,,,,,,
BBC 1,Elliptic,,Setting at 30,,,BBC2,Linear,,BBC3,
Angle,Voltage/V,,Angle,Voltage/V,,Angle,Voltage/V,,Angle,Voltage/V
-90,0.738,,-90,0.819,,-90,0.345,,-90,1.324
-80,0.737,,-80,0.85,,-80,0.536,,-80,1.251
-70,0.733,,-70,0.871,,-70,0.731,,-70,1.113
-60,0.724,,-60,0.884,,-60,0.916,,-60,0.918
-50,0.711,,-50,0.883,,-50,1.06,,-50,0.692
-40,0.698,,-40,0.87,,-40,1.15,,-40,0.463
-30,0.685,,-30,0.845,,-30,.1.17,,-30,0.264
-20,0.682,,-20,0.812,,-20,1.121,,-20,0.111
-10,0.67,,-10,0.778,,-10,1.01,,-10,0.024
0,0.667,,0,0.743,,0,0.845,,0,0.019
10,0.668,,10,0.712,,10,0.655,,10,0.089
20,0.673,,20,0.691,,20,0.453,,20,0.232
30,0.681,,30,0.679,,30,0.276,,30,0.42
40,0.695,,40,0.68,,40,0.133,,40,0.646
50,0.706,,50,0.693,,50,0.041,,50,0.874
60,0.719,,60,0.717,,60,0.017,,60,1.071
70,0.729,,70,0.747,,70,0.006,,70,1.225
80,0.735,,80,0.782,,80,0.169,,80,1.316
90,0.74,,90,0.82,,90,0.325,,90,1.328